jahr,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2021,230,Winterthur,30-34,Schweiz,männlich,3790,false
2021,230,Winterthur,30-34,Schweiz,weiblich,3563,false
2021,230,Winterthur,35-39,Ausland,männlich,1740,false
2021,230,Winterthur,35-39,Ausland,weiblich,1628,false
2021,230,Winterthur,35-39,Schweiz,männlich,3198,false
2021,230,Winterthur,35-39,Schweiz,weiblich,3017,false
2021,230,Winterthur,40-44,Ausland,männlich,1588,false
2021,230,Winterthur,40-44,Ausland,weiblich,1403,false
2021,230,Winterthur,40-44,Schweiz,männlich,2748,false
2021,230,Winterthur,40-44,Schweiz,weiblich,2703,false
2021,230,Winterthur,45-49,Ausland,männlich,1279,false
2021,230,Winterthur,45-49,Ausland,weiblich,1113,false
2021,230,Winterthur,45-49,Schweiz,männlich,2455,false
2021,230,Winterthur,45-49,Schweiz,weiblich,2582,false
2021,230,Winterthur,50-54,Ausland,männlich,1099,false
2021,230,Winterthur,50-54,Ausland,weiblich,933,false
2021,230,Winterthur,50-54,Schweiz,männlich,2703,false
2021,230,Winterthur,50-54,Schweiz,weiblich,2819,false
2021,230,Winterthur,55-59,Ausland,männlich,946,false
2021,230,Winterthur,55-59,Ausland,weiblich,801,false
2021,230,Winterthur,55-59,Schweiz,männlich,2907,false
2021,230,Winterthur,55-59,Schweiz,weiblich,3080,false
2021,230,Winterthur,60-64,Ausland,männlich,655,false
2021,230,Winterthur,60-64,Ausland,weiblich,560,false
2021,230,Winterthur,60-64,Schweiz,männlich,2375,false
2021,230,Winterthur,60-64,Schweiz,weiblich,2649,false
2021,230,Winterthur,65-69,Ausland,männlich,398,false
2021,230,Winterthur,65-69,Ausland,weiblich,352,false
2021,230,Winterthur,65-69,Schweiz,männlich,1987,false
2021,230,Winterthur,65-69,Schweiz,weiblich,2215,false
2021,230,Winterthur,70-74,Ausland,männlich,296,false
2021,230,Winterthur,70-74,Ausland,weiblich,301,false
2021,230,Winterthur,70-74,Schweiz,männlich,1578,false
2021,230,Winterthur,70-74,Schweiz,weiblich,2111,false
2021,230,Winterthur,75-79,Ausland,männlich,244,false
2021,230,Winterthur,75-79,Ausland,weiblich,243,false
2021,230,Winterthur,75-79,Schweiz,männlich,1523,false
2021,230,Winterthur,75-79,Schweiz,weiblich,1972,false
2021,230,Winterthur,80-84,Ausland,männlich,224,false
2021,230,Winterthur,80-84,Ausland,weiblich,214,false
2021,230,Winterthur,80-84,Schweiz,männlich,918,false
2021,230,Winterthur,80-84,Schweiz,weiblich,1472,false
2021,230,Winterthur,85-89,Ausland,männlich,107,false
2021,230,Winterthur,85-89,Ausland,weiblich,101,false
2021,230,Winterthur,85-89,Schweiz,männlich,620,false
2021,230,Winterthur,85-89,Schweiz,weiblich,1037,false
2021,230,Winterthur,90-94,Ausland,männlich,29,false
2021,230,Winterthur,90-94,Ausland,weiblich,41,false
2021,230,Winterthur,90-94,Schweiz,männlich,260,false
2021,230,Winterthur,90-94,Schweiz,weiblich,557,false
2021,230,Winterthur,95+,Ausland,männlich,,true
2021,230,Winterthur,95+,Ausland,weiblich,,true
2021,230,Winterthur,95+,Schweiz,männlich,47,false
2021,230,Winterthur,95+,Schweiz,weiblich,182,false
2020,230,Winterthur,00-04,Ausland,männlich,829,false
2020,230,Winterthur,00-04,Ausland,weiblich,771,false
2020,230,Winterthur,00-04,Schweiz,männlich,2384,false
2020,230,Winterthur,00-04,Schweiz,weiblich,2244,false
2020,230,Winterthur,05-09,Ausland,männlich,799,false
2020,230,Winterthur,05-09,Ausland,weiblich,814,false
2020,230,Winterthur,05-09,Schweiz,männlich,2187,false
2020,230,Winterthur,05-09,Schweiz,weiblich,2091,false
2020,230,Winterthur,10-14,Ausland,männlich,742,false
2020,230,Winterthur,10-14,Ausland,weiblich,655,false
2020,230,Winterthur,10-14,Schweiz,männlich,2207,false
2020,230,Winterthur,10-14,Schweiz,weiblich,2042,false
2020,230,Winterthur,15-19,Ausland,männlich,578,false
2020,230,Winterthur,15-19,Ausland,weiblich,451,false
2020,230,Winterthur,15-19,Schweiz,männlich,2115,false
2020,230,Winterthur,15-19,Schweiz,weiblich,2030,false
2020,230,Winterthur,20-24,Ausland,männlich,836,false
2020,230,Winterthur,20-24,Ausland,weiblich,681,false
2020,230,Winterthur,20-24,Schweiz,männlich,2857,false
2020,230,Winterthur,20-24,Schweiz,weiblich,3072,false
2020,230,Winterthur,25-29,Ausland,männlich,1282,false
2020,230,Winterthur,25-29,Ausland,weiblich,1211,false
2020,230,Winterthur,25-29,Schweiz,männlich,3778,false
2020,230,Winterthur,25-29,Schweiz,weiblich,3934,false
2020,230,Winterthur,30-34,Ausland,männlich,1602,false
2020,230,Winterthur,30-34,Ausland,weiblich,1625,false
2020,230,Winterthur,30-34,Schweiz,männlich,3778,false
2020,230,Winterthur,30-34,Schweiz,weiblich,3509,false
2020,230,Winterthur,35-39,Ausland,männlich,1766,false
2020,230,Winterthur,35-39,Ausland,weiblich,1638,false
2020,230,Winterthur,35-39,Schweiz,männlich,3152,false
2020,230,Winterthur,35-39,Schweiz,weiblich,2973,false
2020,230,Winterthur,40-44,Ausland,männlich,1565,false
2020,230,Winterthur,40-44,Ausland,weiblich,1326,false
2020,230,Winterthur,40-44,Schweiz,männlich,2646,false
2020,230,Winterthur,40-44,Schweiz,weiblich,2663,false
2020,230,Winterthur,45-49,Ausland,männlich,1228,false
2020,230,Winterthur,45-49,Ausland,weiblich,1104,false
2020,230,Winterthur,45-49,Schweiz,männlich,2467,false
2020,230,Winterthur,45-49,Schweiz,weiblich,2601,false
2020,230,Winterthur,50-54,Ausland,männlich,1136,false
2020,230,Winterthur,50-54,Ausland,weiblich,907,false
2020,230,Winterthur,50-54,Schweiz,männlich,2811,false
2020,230,Winterthur,50-54,Schweiz,weiblich,2908,false
2020,230,Winterthur,55-59,Ausland,männlich,922,false
2020,230,Winterthur,55-59,Ausland,weiblich,770,false
2020,230,Winterthur,55-59,Schweiz,männlich,2828,false
2020,230,Winterthur,55-59,Schweiz,weiblich,3070,false
2020,230,Winterthur,60-64,Ausland,männlich,632,false
2020,230,Winterthur,60-64,Ausland,weiblich,529,false
2020,230,Winterthur,60-64,Schweiz,männlich,2334,false
2020,230,Winterthur,60-64,Schweiz,weiblich,2561,false
2020,230,Winterthur,65-69,Ausland,männlich,370,false
2020,230,Winterthur,65-69,Ausland,weiblich,348,false
2020,230,Winterthur,65-69,Schweiz,männlich,1885,false
2020,230,Winterthur,65-69,Schweiz,weiblich,2210,false
2020,230,Winterthur,70-74,Ausland,männlich,304,false
2020,230,Winterthur,70-74,Ausland,weiblich,304,false
2020,230,Winterthur,70-74,Schweiz,männlich,1619,false
2020,230,Winterthur,70-74,Schweiz,weiblich,2131,false
2020,230,Winterthur,75-79,Ausland,männlich,264,false
2020,230,Winterthur,75-79,Ausland,weiblich,235,false
2020,230,Winterthur,75-79,Schweiz,männlich,1471,false
2020,230,Winterthur,75-79,Schweiz,weiblich,1936,false
2020,230,Winterthur,80-84,Ausland,männlich,206,false
2020,230,Winterthur,80-84,Ausland,weiblich,225,false
2020,230,Winterthur,80-84,Schweiz,männlich,895,false
