jahr,gemeinde_bfs_nr,gemeinde,stadtkreis_bfs_nr,stadtkreis,quartier_bfs_nr,quartier,staatenkleingruppe,region,anzahl,anzahl_ist_kleingruppe
2023,230,Winterthur,4,Töss,430,Eichliacker,Asien,übrige Kontinente,189,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Australien und Ozeanien,übrige Kontinente,,true
2023,230,Winterthur,4,Töss,430,Eichliacker,Bosnien u. Herzegowina,Südosteuropa,25,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Deutschland,"Nord-, Mittel- und Westeuropa",193,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Italien,Südeuropa,274,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Kosovo,Südosteuropa,63,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Mazedonien,Südosteuropa,150,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,4,Töss,430,Eichliacker,Österreich,"Nord-, Mittel- und Westeuropa",37,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Osteuropa und Russland,Osteuropa,36,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Portugal,Südeuropa,57,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Schweiz,"Nord-, Mittel- und Westeuropa",2772,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Serbien,Südosteuropa,52,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Spanien,Südeuropa,36,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Türkei,Osteuropa,153,false
2023,230,Winterthur,4,Töss,430,Eichliacker,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",68,false
2023,230,Winterthur,4,Töss,430,Eichliacker,übriges Südosteuropa,Südosteuropa,46,false
2023,230,Winterthur,4,Töss,430,Eichliacker,unbekannt,unbekannt,3,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Westeuropa,"Nord-, Mittel- und Westeuropa",32,false
2023,230,Winterthur,3,Seen,370,Eidberg,Asien,übrige Kontinente,,true
2023,230,Winterthur,3,Seen,370,Eidberg,Deutschland,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,370,Eidberg,Italien,Südeuropa,,true
2023,230,Winterthur,3,Seen,370,Eidberg,Osteuropa und Russland,Osteuropa,,true
2023,230,Winterthur,3,Seen,370,Eidberg,Portugal,Südeuropa,,true
2023,230,Winterthur,3,Seen,370,Eidberg,Schweiz,"Nord-, Mittel- und Westeuropa",165,false
2023,230,Winterthur,3,Seen,370,Eidberg,übriges Südosteuropa,Südosteuropa,,true
2023,230,Winterthur,7,Mattenbach,730,Endliker,Afrika,übrige Kontinente,69,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Amerika,übrige Kontinente,,true
2023,230,Winterthur,7,Mattenbach,730,Endliker,Asien,übrige Kontinente,85,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Bosnien u. Herzegowina,Südosteuropa,,true
2023,230,Winterthur,7,Mattenbach,730,Endliker,Deutschland,"Nord-, Mittel- und Westeuropa",54,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Italien,Südeuropa,135,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Kosovo,Südosteuropa,63,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Mazedonien,Südosteuropa,49,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,7,Mattenbach,730,Endliker,Österreich,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,7,Mattenbach,730,Endliker,Osteuropa und Russland,Osteuropa,26,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Portugal,Südeuropa,,true
2023,230,Winterthur,7,Mattenbach,730,Endliker,Schweiz,"Nord-, Mittel- und Westeuropa",1501,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Serbien,Südosteuropa,47,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Spanien,Südeuropa,,true
2023,230,Winterthur,7,Mattenbach,730,Endliker,Türkei,Osteuropa,68,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",44,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,übriges Südosteuropa,Südosteuropa,36,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,unbekannt,unbekannt,3,false
2023,230,Winterthur,7,Mattenbach,730,Endliker,Westeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Afrika,übrige Kontinente,55,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Amerika,übrige Kontinente,24,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Asien,übrige Kontinente,71,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Bosnien u. Herzegowina,Südosteuropa,,true
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Deutschland,"Nord-, Mittel- und Westeuropa",126,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Italien,Südeuropa,165,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Kosovo,Südosteuropa,44,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Mazedonien,Südosteuropa,26,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Österreich,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Osteuropa und Russland,Osteuropa,30,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Portugal,Südeuropa,,true
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Schweiz,"Nord-, Mittel- und Westeuropa",2303,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Serbien,Südosteuropa,41,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Spanien,Südeuropa,,true
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Türkei,Osteuropa,80,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",40,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,übriges Südosteuropa,Südosteuropa,30,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,unbekannt,unbekannt,1,false
2023,230,Winterthur,3,Seen,330,Ganzenbühl,Westeuropa,"Nord-, Mittel- und Westeuropa",23,false
2023,230,Winterthur,3,Seen,360,Gotzenwil,Amerika,übrige Kontinente,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Asien,übrige Kontinente,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Deutschland,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Italien,Südeuropa,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Kosovo,Südosteuropa,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Österreich,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Osteuropa und Russland,Osteuropa,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Portugal,Südeuropa,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Schweiz,"Nord-, Mittel- und Westeuropa",633,false
2023,230,Winterthur,3,Seen,360,Gotzenwil,Spanien,Südeuropa,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Türkei,Osteuropa,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,übriges Südosteuropa,Südosteuropa,,true
2023,230,Winterthur,3,Seen,360,Gotzenwil,Westeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Afrika,übrige Kontinente,39,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Amerika,übrige Kontinente,44,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Asien,übrige Kontinente,154,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Bosnien u. Herzegowina,Südosteuropa,,true
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Deutschland,"Nord-, Mittel- und Westeuropa",255,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Italien,Südeuropa,135,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Kosovo,Südosteuropa,32,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Mazedonien,Südosteuropa,37,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Österreich,"Nord-, Mittel- und Westeuropa",44,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Osteuropa und Russland,Osteuropa,46,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Portugal,Südeuropa,,true
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Schweiz,"Nord-, Mittel- und Westeuropa",2525,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Serbien,Südosteuropa,,true
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Spanien,Südeuropa,28,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Türkei,Osteuropa,43,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",86,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,übriges Südosteuropa,Südosteuropa,44,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,unbekannt,unbekannt,6,false
2023,230,Winterthur,2,Oberwinterthur,230,Grüze,Westeuropa,"Nord-, Mittel- und Westeuropa",57,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Afrika,übrige Kontinente,282,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Amerika,übrige Kontinente,56,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Asien,übrige Kontinente,192,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Bosnien u. Herzegowina,Südosteuropa,27,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Deutschland,"Nord-, Mittel- und Westeuropa",160,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Italien,Südeuropa,385,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Kosovo,Südosteuropa,98,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Mazedonien,Südosteuropa,228,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Österreich,"Nord-, Mittel- und Westeuropa",31,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Osteuropa und Russland,Osteuropa,94,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Portugal,Südeuropa,106,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Schweiz,"Nord-, Mittel- und Westeuropa",3580,false
2023,230,Winterthur,2,Oberwinterthur,220,Guggenbühl,Serbien,Südosteuropa,111,false
